4;99.0;Cartier wristwatch;3 day auction
14;1.0;Cartier wristwatch;3 day auction
30;99.0;Cartier wristwatch;3 day auction
44;99.99;Cartier wristwatch;3 day auction
55;200.0;Cartier wristwatch;3 day auction
61;99.0;Cartier wristwatch;3 day auction
62;100.0;Cartier wristwatch;3 day auction
63;9.99;Cartier wristwatch;3 day auction
64;9.99;Cartier wristwatch;3 day auction
85;149.99;Cartier wristwatch;3 day auction
86;199.0;Cartier wristwatch;3 day auction
91;1200.0;Cartier wristwatch;3 day auction
95;100.0;Cartier wristwatch;3 day auction
102;99.99;Cartier wristwatch;3 day auction
106;150.0;Cartier wristwatch;3 day auction
112;199.0;Cartier wristwatch;3 day auction
115;99.0;Cartier wristwatch;3 day auction
121;500.0;Cartier wristwatch;3 day auction
16;899.99;Cartier wristwatch;5 day auction
20;9.99;Cartier wristwatch;5 day auction
21;500.0;Cartier wristwatch;5 day auction
25;1.0;Cartier wristwatch;5 day auction
26;1.0;Cartier wristwatch;5 day auction
29;500.0;Cartier wristwatch;5 day auction
31;2350.0;Cartier wristwatch;5 day auction
41;90.0;Cartier wristwatch;5 day auction
45;1699.0;Cartier wristwatch;5 day auction
46;9.99;Cartier wristwatch;5 day auction
47;9.99;Cartier wristwatch;5 day auction
48;9.99;Cartier wristwatch;5 day auction
74;100.0;Cartier wristwatch;5 day auction
83;1.0;Cartier wristwatch;5 day auction
89;100.0;Cartier wristwatch;5 day auction
92;1.0;Cartier wristwatch;5 day auction
94;1.0;Cartier wristwatch;5 day auction
111;150.0;Cartier wristwatch;5 day auction
113;50.0;Cartier wristwatch;5 day auction
114;10.0;Cartier wristwatch;5 day auction
129;1.0;Cartier wristwatch;5 day auction
0;500.0;Cartier wristwatch;7 day auction
1;200.0;Cartier wristwatch;7 day auction
2;300.0;Cartier wristwatch;7 day auction
3;225.0;Cartier wristwatch;7 day auction
5;25.0;Cartier wristwatch;7 day auction
6;495.0;Cartier wristwatch;7 day auction
7;250.0;Cartier wristwatch;7 day auction
8;1.0;Cartier wristwatch;7 day auction
9;1.0;Cartier wristwatch;7 day auction
10;155.0;Cartier wristwatch;7 day auction
11;4.99;Cartier wristwatch;7 day auction
12;1000.0;Cartier wristwatch;7 day auction
